ავტორი,სათაური,ფასი
ნილ გეიმანი,კომპლექტი: ნილ გეიმანის წიგნები თინეიჯერებისთვის,"33,80 ₾"
სხვადასხვა ავტორი,კომპლექტი: ქართველი მწერლები მუსიკაზე,"35,80 ₾"
სხვადასხვა ავტორი,ინგლისელი ავტორების კომპლექტი “მსოფლიო კლასიკის” სერიიდან,"48,80 ₾"
სხვადასხვა ავტორი,საზაფხულო საკითხავის კომპლექტი ლიტოდისეის სერიიდან,"40,80 ₾"
სხვადასხვა ავტორი,კომპლექტი:  მოკლე ისტორიები,"50,70 ₾"
სხვადასხვა ავტორი,კომპლექტი არდადეგებისთვის (8 წელი),"34,70 ₾"
სხვადასხვა ავტორი,კომპლექტი არდადეგებისთის (7 წელი),"30,70 ₾"
სხვადასხვა ავტორი,კომპლექტი არდადეგებისთვის (6 წელი),"32,70 ₾"
სელმა ლაგერლოფი,ლეგენდები ქრისტეზე,"29,90 ₾"
ლეო ვარდიაშვილი,ერთი დიდი ტყის მახლობლად,"19,90 ₾"
იუნ ფოსე,სხვა სახელი: სეპტოლოგია I-II,"25,90 ₾"
ტედ ჯიოია,"მუსიკა – ამბოხის, სირცხვილისა და მითვისების ისტორია","37,90 ₾"
მეგი ნელსონი,არგონავტები,"20,90 ₾"
ფიოდორ დოსტოევსკი,ავსულნი,"30,90 ₾"
აკა მორჩილაძე,სანტა ესპერანსა (რვეულებად),"64,90 ₾"
სანდრა სისნეროსი,სახლი მანგოს ქუჩაზე,"12,90 ₾"
არჩილ სულაკაური,სალამურას თავგადასავალი,"26,90 ₾"
"დარონ აჯემოღლუ, ჯეიმს რობინსონი",რატომ ვერ აღწევენ წარმატებას სახელმწიფოები,"29,90 ₾"
მიხეილ ციხელაშვილი,ტანჟერული სიზმარი,"22,90 ₾"
ანე-კატარინე ვესტლი,ველოტური დანიაში (წიგნი მეექვსე),"8,90 ₾"
თურბიორნ ეგნერი,ილის ქალაქი,"8,90 ₾"
კორმაკ მაკარტი,გზა,"16,90 ₾"
გიუნელ მოვლუდი,ბანაკი,"13,90 ₾"
სხვადასხვა ავტორი,მონტესორი 8 წლიდან (აღმოაჩინე ხელოვნება),"15,90 ₾"
სხვადასხვა ავტორი,მონტესორი 7 წლიდან (ლოგიკა მომავალი პროგრამისტებისთვის),"15,90 ₾"
ტოდ შტრასერი,ტალღა,"13,90 ₾"
ჯონ ბოინი,ბიჭი ზოლიან პიჟამაში,"13,90 ₾"
დენიელ კიზი,ყვავილები ელჯერნონისთვის,"14,90 ₾"
ჯერალდ დარელი,ჩემი ოჯახი და სხვა ცხოველები,"12,90 ₾"
გურამ ფანჯიკიძე,ეშმაკის ბორბალი,"22,90 ₾"
დეივ პილკი,პატარა პიტის კომიქსების კლუბი,"14,90 ₾"
გამეზა და კოტორი,მაქსისტორიები,"12,90 ₾"
ალექს ტ. სმიტი,კლოდი არდადეგებზე (წიგნი მეორე),"8,90 ₾"
ალექს ტ. სმიტი,კლოდი ქალაქში,"9,90 ₾"
ბეატრის ხიმენეს დე ორი,"თევზი, სახელად ალეგრია","9,90 ₾"
დათო ტურაშვილი,Flight from the USSR | Georgian Fiction,"15,90 ₾"
ლაშა ბუღაძე,The Navigator | Georgian Fiction,"14,90 ₾"
ლაშა ბუღაძე,The Literature Express | Georgian Fiction,"17,90 ₾"
დათო ტურაშვილი,American Fairy Tales | Georgian Fiction,"13,90 ₾"
სოფიო შამანიდი,„აუტანელი“ ქალები / აუტანელი კაცები,"14,90 ₾"
ბესო ხვედელიძე,გოა მშვიდობისა,"12,90 ₾"
ვლადიმირ ნაბოკოვი,მოთვალთვალე,"11,90 ₾"
ანდრეი კურკოვი,თავდასხმის დღიური,"17,90 ₾"
ოქსანა საბუჟკო,ყველაზე დიდი მოგზაურობა,"14,90 ₾"
ვიტალი ზაპეკა,პოლინკა,"19,90 ₾"
სიუ ტაუნსენდი,ედრიან მოულის საიდუმლო დღიური,"14,90 ₾"
"ბეტინა გიოშლი, კლაუს-პეტერ ვოლფი",ჩრდილოზღვისპირელი დეტექტივები 2 – მოჩვენებათა სასტუმრო,"10,90 ₾"
სხვადასხვა ავტორი,ინსომნია 2022,"12,90 ₾"
კობო აბე,დამწვარი რუკა,"17,90 ₾"
ივან ბუნინი,ბნელი ხეივნები,"22,90 ₾"
კლივ გლიფორდი,საოცარი თავსატეხები და გამოცანები 9 წლიდან,"8,90 ₾"
აქსელ შეფლერი,პი და პო – სიტყვების დიდი წიგნი,"29,90 ₾"
პატი სმითი,მოგონებების მატარებელი,"19,90 ₾"
ზეიდი სმითი,მშვენიერებაზედ,"26,90 ₾"
ჯეფ კინი,წრიპა ბიჭის დღიური: სავსე ბუშტი (17),"11,90 ₾"
ჯესიკა სკოტ-უაიტი,კლუბი ასპარაგუსი,"12,90 ₾"
კოკა ქამუშაძე,სონატა სიმებიანი კვარტეტისთვის,"16,90 ₾"
"ბეტინა გიოშლი, კლაუს-პეტერ ვოლფი",ჩრდილოზღვისპირელი დეტექტივები – იდუმალებით მოცული სახლი დამბაზე (წიგნი პირველი),"9,90 ₾"
დეივ პილკი,დოგმენი და მეგობრები – სიყვარულით სავსვე გასაფერადებელი,"10,90 ₾"
სხვადასხვა ავტორი,ციფრული სამყარო – ისტ (მეოთხე კლასი),"15,00 ₾"
